date,vehicle,weight
2017-01-11,13,7.85
2017-01-11,14,4.2
2017-01-11,14,6.96
2017-01-11,15,7.55
2017-01-12,13,4.65
2017-01-12,13,7.5
2017-01-12,15,7.25
2017-01-12,14,8.46
2017-01-13,13,5.9
2017-01-13,14,3.36
2017-01-13,13,8.25
2017-01-13,14,9.16
2017-01-13,15,8.25
2017-01-16,13,7.84
2017-01-16,14,7.44
2017-01-16,15,6.8
2017-01-16,13,3.84
2017-01-16,15,4.86
2017-01-16,14,2.06
2017-01-17,15,3.88
2017-01-17,15,7.82
2017-01-17,14,7.6
2017-01-17,13,8.06
2017-01-17,14,4.96
2017-01-18,14,6.14
2017-01-18,15,2.46
2017-01-18,13,6.1
2017-01-18,15,6.62
2017-01-18,15,8.24
2017-01-19,14,2.42
2017-01-19,14,7.48
2017-01-19,15,6.86
2017-01-19,15,2.5
2017-01-19,13,7.8
2017-01-19,13,5.75
2017-01-20,15,6.6
2017-01-20,13,7.54
2017-01-20,14,9.18
2017-01-20,15,4.76
2017-01-20,13,3.84
2017-01-23,,1.4
2017-01-23,15,6.12
2017-01-23,14,3.84
2017-01-23,13,7.84
2017-01-23,13,7.66
2017-01-23,19,1.663
2017-01-23,8,1.78
2017-01-23,13,6.4
2017-01-24,15,5.46
2017-01-24,14,4.46
2017-01-24,14,7.92
2017-01-24,13,7.1
2017-01-24,15,7.16
2017-01-24,13,6.15
2017-01-24,13,2
2017-01-25,13,6.46
2017-01-25,14,7.02
2017-01-25,15,6.86
2017-01-25,13,3.8
2017-01-26,14,0.22
2017-01-26,15,3.04
2017-01-26,15,6.18
2017-01-26,13,3.98
2017-01-26,13,6.52
2017-01-26,,19.55
2017-01-27,14,0.8
2017-01-27,14,7.9
2017-01-27,15,8.58
2017-01-27,13,4.5
2017-01-27,13,7.8
2017-01-30,14,2.36
2017-01-30,14,7.1
2017-01-30,15,8.24
2017-01-30,15,2.44
2017-01-30,13,9.74
2017-01-31,15,7.02
2017-01-31,14,8.2
2017-01-31,13,7.1
2017-01-31,15,4.72
2017-01-31,14,2.92
2017-02-01,13,7.3
2017-02-01,14,6.54
2017-02-01,15,7.12
2017-02-01,15,6.5
2017-02-02,13,4.66
2017-02-02,13,7.38
2017-02-02,14,4.38
2017-02-02,14,7.26
2017-02-02,15,7.6
2017-02-03,14,7.64
2017-02-03,15,3.12
2017-02-03,15,7.38
2017-02-03,13,4.3
2017-02-03,13,6.6
2017-02-06,13,3.3
2017-02-06,15,7.76
2017-02-06,14,4.28
2017-02-06,14,8.3
2017-02-06,13,8.34
2017-02-06,15,4.8
2017-02-06,14,0
2017-02-07,13,4
2017-02-07,14,4.22
2017-02-07,15,3.78
2017-02-07,15,8.72
2017-02-07,14,7.86
2017-02-07,13,8.74
2017-02-08,14,6.1
2017-02-08,13,7.108
2017-02-08,13,3.8
2017-02-08,14,0
2017-02-09,17,2.7
2017-02-09,15,8.52
2017-02-09,17,7.9
2017-02-09,13,8.88
